Reference, Quantity, Value, Footprint, Datasheet
C11 C12 ,2,"15p","Capacitor_SMD:C_0805_2012Metric","~"
C1 C2 C3 C4 C5 C6 C7 C8 ,8,"0.1uF","Capacitor_SMD:C_0805_2012Metric","~"
D1 D2 D3 D4 ,4,"BAS316.115","Diode_SMD:D_SOD-323_HandSoldering","~"
D5 D6 D7 D8 D9 D10 D11 D12 D13 D14 D15 ,11,"LED","lib:LED_D2.0mm_W4.8mm_Horizontal_O1.27mm_Z2.0mm","~"
H5 H6 ,2,"MountingHole","MountingHole:MountingHole_3.2mm_M3_Pad","~"
J1 ,1,"Conn_02x10_Odd_Even","lib:PinSocket_2x10_P2.54mm_Vertical_SMD","~"
J2 ,1,"Conn_02x03_Odd_Even","Connector_IDC:IDC-Header_2x03_P2.54mm_Vertical","~"
R1 R2 R3 R4 R6 R7 R8 R9 R10 R11 R12 R13 R14 R15 R16 ,15,"470","Resistor_SMD:R_0805_2012Metric","~"
R17 ,1,"100","Resistor_SMD:R_0805_2012Metric","~"
R5 R18 ,2,"10k","Resistor_SMD:R_0805_2012Metric","~"
SW1 ,1,"SW_Push","Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx58-2LFS","~"
U2 U3 ,2,"74HCT541","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","http://www.ti.com/lit/gpn/sn74HCT541"
U1 U4 ,2,"HCPL2730","Package_DIP:DIP-8_W7.62mm","http://www.onsemi.com/pub/Collateral/HCPL2731-D.pdf"
U5 ,1,"ATxmega32A4U-AU","Package_QFP:TQFP-44_10x10mm_P0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/Atmel-8387-8-and16-bit-AVR-Microcontroller-XMEGA-A4U_Datasheet.pdf"
Y1 ,1,"16MHz","Crystal:Crystal_SMD_HC49-SD","~"